timeStep,mean_pore_set,histogram_pore,phi,chi_4,temp,damp,N_heat,N_isothermal
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.6,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.6,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.8000000000000003,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.7999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.9999999999999998,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.6,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.5999999999999999,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,2.1999999999999997,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.0,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.8,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.6000000000000001,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,1.2,0.05,0.05,0.05,1.0,500000,9500000
1.0e7,1.0570096570096572,0.4,0.05,0.05,0.05,1.0,500000,9500000
