timeStep,mean_pore_set,histogram_pore,phi,chi_4,temp,damp,N_heat,N_isothermal
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.800000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.400000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.8000000000000025,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.6000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.800000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.800000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.800000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.800000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.200000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.6000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,6.000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.200000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.600000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.600000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.400000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,7.600000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.6000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.8000000000000025,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.600000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.1999999999999997,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.6000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.6000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.200000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.8,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.600000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.800000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,6.200000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.800000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.6,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.5999999999999999,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.600000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.7999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.9999999999999998,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.400000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.2,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.8000000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.6000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.2000000000000006,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.0,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,6.400000000000003,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.6000000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,2.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,1.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.600000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.800000000000001,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,0.4,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,5.000000000000002,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,3.0000000000000004,0.01,0.05,0.05,1.0,500000,9500000
1.0e7,2.7259340659340667,4.000000000000001,0.01,0.05,0.05,1.0,500000,9500000
